,time_unix,lon,lat,date time
3,1769633292,-15810.085,2113.2828,2026-01-28 20:48:12
4,1769633328,-15810.0813,2113.2791,2026-01-28 20:48:48
5,1769633364,-15810.0777,2113.2762,2026-01-28 20:49:24
6,1769633724,-15810.082,2113.2289,2026-01-28 20:55:24
7,1769633756,-15810.0812,2113.2246,2026-01-28 20:55:56
8,1769634471,-15810.0291,2113.1492,2026-01-28 21:07:51
9,1769634507,-15810.0266,2113.1452,2026-01-28 21:08:27
10,1769634543,-15810.0226,2113.1413,2026-01-28 21:09:03
11,1769634579,-15810.0192,2113.1379,2026-01-28 21:09:39
12,1769635012,-15810.0155,2113.1415,2026-01-28 21:16:52
13,1769635048,-15810.0124,2113.1385,2026-01-28 21:17:28
14,1769635518,-15809.9676,2113.0813,2026-01-28 21:25:18
15,1769635554,-15809.9631,2113.0767,2026-01-28 21:25:54
16,1769635590,-15809.9599,2113.0718,2026-01-28 21:26:30
17,1769635622,-15809.9584,2113.0693,2026-01-28 21:27:02
18,1769636319,-15809.9743,2113.0469,2026-01-28 21:38:39
19,1769636351,-15809.971,2113.0428,2026-01-28 21:39:11
20,1769636829,-15809.9242,2112.9808,2026-01-28 21:47:09
21,1769636861,-15809.9202,2112.9752,2026-01-28 21:47:41
22,1769636897,-15809.9156,2112.9685,2026-01-28 21:48:17
23,1769638147,-15809.9781,2112.9115,2026-01-28 22:09:07
24,1769638183,-15809.9757,2112.9073,2026-01-28 22:09:43
25,1769638548,-15809.9457,2112.8601,2026-01-28 22:15:48
26,1769638584,-15809.9438,2112.8555,2026-01-28 22:16:24
27,1769638620,-15809.9395,2112.852,2026-01-28 22:17:00
28,1769638652,-15809.9375,2112.8457,2026-01-28 22:17:32
29,1769639906,-15810.0058,2112.7571,2026-01-28 22:38:26
30,1769639942,-15810.0031,2112.7527,2026-01-28 22:39:02
31,1769640412,-15809.9663,2112.7007,2026-01-28 22:46:52
32,1769640448,-15809.9627,2112.6958,2026-01-28 22:47:28
33,1769640484,-15809.9601,2112.6918,2026-01-28 22:48:04
34,1769640516,-15809.9566,2112.6839,2026-01-28 22:48:36
35,1769642907,-15810.2442,2112.7339,2026-01-28 23:28:27
36,1769642943,-15810.243,2112.7294,2026-01-28 23:29:03
37,1769643420,-15810.1962,2112.679,2026-01-28 23:37:00
